Release	Date	%+-YD	%+-LW	Days	google trends	Avg TD	Avg YD	Weekly	Weekly %+-YD	Weekly %+-LW	Avg Theatre	Avg per Theatre Avg	Avg To Date	Y	Week + 1
Tesla	2020-08-24	-39.40000000000001	-185.8	49.0	425.170068027211	7.857142857142858	7.428571428571429	34098.0	-39.40000000000001	-185.8	99.0	49.57142857142857	60857.42857142857	2020-08-31	4732.0
Bill & Ted Face the Music	2020-08-24	-46.5	0.0	6.0	1.86	1.2857142857142858	0.8571428571428571	1125007.0	-46.5	0.0	431.57142857142856	159.42857142857142	349494.2857142857	2020-08-31	1142565.0
Unhinged	2020-08-24	121.70000000000002	-106.2	98.0	22.619047619047628	1.4285714285714286	1.2857142857142858	3819220.0	121.70000000000002	-106.2	2040.7142857142856	254.14285714285717	6757880.571428573	2020-08-31	2598055.0
Juvenile Delinquents	2020-08-24	0.0	0.0	354.0	0.0	3.7142857142857135	0.0	1260.0	0.0	0.0	0.2857142857142857	180.0	9700.57142857143	2020-08-31	0.0
Words on Bathroom Walls	2020-08-24	159.3	9.3	49.0	4.04	3.8571428571428568	3.571428571428572	646438.0	159.3	9.3	1125.857142857143	75.85714285714286	722750.0	2020-08-31	455438.0
The SpongeBob Movie: Sponge on the Run	2020-08-24	40.49999999999999	-200.9	98.0	0.59	3.4285714285714284	3.1428571428571432	876759.0	40.49999999999999	-200.9	320.85714285714283	390.71428571428567	2572071.8571428573	2020-08-31	345000.0
The Rental	2020-08-24	-59.0	-372.0	245.0	13.930232558139535	6.7142857142857135	6.142857142857142	50276.0	-59.0	-372.0	84.85714285714286	93.0	1538798.8571428568	2020-08-31	0.0
Tulsa	2020-08-24	19.1	-125.4	49.0	65.38170823885112	5.7142857142857135	5.142857142857143	80500.0	19.1	-125.4	177.85714285714286	66.28571428571429	118957.85714285714	2020-08-31	41729.0
The Personal History of David Copperfield	2020-08-24	-34.2	0.0	6.0	1.48	2.0	1.1428571428571428	475800.0	-34.2	0.0	582.8571428571429	49.85714285714285	149621.2857142857	2020-08-31	515111.0
The Eight Hundred	2020-08-24	-34.7	0.0	6.0	0.6	3.0	2.0	118161.0	-34.7	0.0	59.57142857142857	121.28571428571428	35876.28571428572	2020-08-31	132054.0
Made in Italy	2020-08-24	-9.6	-427.0	147.0	4.7142857142857135	9.714285714285714	9.142857142857142	5800.0	-9.6	-427.0	28.0	35.57142857142857	91224.28571428572	2020-08-31	2011.0
The Gentlemen	2020-08-24	25.90000000000001	2589.7000000000007	862.0	3.66	3.8571428571428568	3.8571428571428568	17272.0	25.90000000000001	2589.7000000000007	21.714285714285715	64.71428571428571	20836657.14285714	2020-08-31	0.0
Centigrade	2020-08-24	-72.5	0.0	6.0	3.054945054945055	4.714285714285714	3.1428571428571432	6480.0	-72.5	0.0	12.0	32.857142857142854	2206.5714285714284	2020-08-31	3225.0
The New Mutants	2020-08-24	-61.2	0.0	6.0	22.486772486772495	0.42857142857142855	0.2857142857142857	7037017.0	-61.2	0.0	1033.7142857142858	416.4285714285714	2245269.0	2020-08-31	4753312.0
The Eight Hundred	2020-08-31	0.4000000000000004	-137.39999999999998	49.0	1.63	6.428571428571429	6.428571428571429	132054.0	0.4000000000000004	-137.39999999999998	109.42857142857143	171.71428571428572	191535.57142857145	2020-09-07	67253.0
Bill & Ted Face the Music	2020-08-31	88.80000000000004	-81.00000000000001	49.0	1.97	3.0	3.0	1142565.0	88.80000000000004	-81.00000000000001	983.8571428571428	167.85714285714286	1632204.2857142857	2020-09-07	539717.0
Centigrade	2020-08-31	-21.699999999999992	0.0	22.0	2.3626373626373627	5.0	5.428571428571429	3225.0	-21.699999999999992	0.0	16.0	16.285714285714285	4891.571428571428	2020-09-07	0.0
Unhinged	2020-08-31	111.3	-220.50000000000003	147.0	19.365079365079367	2.0	2.0	2598055.0	111.3	-220.50000000000003	2361.428571428572	155.42857142857142	9956555.857142856	2020-09-07	2403341.0
The Personal History of David Copperfield	2020-08-31	76.60000000000002	-77.4	49.0	1.79	4.571428571428571	4.714285714285714	515111.0	76.60000000000002	-77.4	1441.428571428571	49.28571428571429	713207.0	2020-09-07	414661.0
Tesla	2020-08-31	-84.60000000000002	-294.6	50.0	392.36373561770404	4.714285714285714	4.857142857142857	4732.0	-84.60000000000002	-294.6	49.714285714285715	7.428571428571429	45380.571428571435	2020-09-07	0.0
The SpongeBob Movie: Sponge on the Run	2020-08-31	36.8	-53.7	69.0	0.19	1.8571428571428568	1.2857142857142858	345000.0	36.8	-53.7	130.28571428571428	162.0	1366347.857142857	2020-09-07	225829.0
